# Ghidra LK patch file v1
# source_program=lk.bin
# baseline=/tmp/lk_g981b_original.bin
# target_hint=LK_G981B
# format: profile|offset|old_hex|new_hex|function|instruction
# Use profile 1 for normal rows, or 0 to disable a row.
# Rows marked rollback are selected only by the --rollback-mode profile.
1|0x00014938|2100|C102|cm_otp_write_rom_sec_boot_key|mov x1,#0x16
1|0x00014AD0|0120|8122|cm_otp_check_rom_sec_boot_key|mov x1,#0x114
1|0x00014BE4|4100|E102|cm_otp_write_use_rom_sec_boot_key|mov x1,#0x17
1|0x00014C90|2120|A122|cm_otp_read_use_rom_sec_boot_key|mov x1,#0x115
rollback|0x00015C34|820200F9|9F0200F9|cm_otp_read_test|str xzr,[x20]
1|0x00015D80|F30300AA|130080D2|cm_otp_read_warranty|mov x19,#0x0
1|0x00015D94|820200F9E10302AA|9F0200F9010080D2|cm_otp_read_warranty|str xzr,[x20]; mov x1,#0x0
rollback|0x00039884|A0230791|E00313AA|load_and_verify_vbmeta|mov x0,x19
1|0x00082E30|221C03B9|3F1C03B9|set_warranty_void_bit_reason|str wzr,[x1,#0x31c]
rollback|0x000852A4|600440F9|000080D2|initialize_efuse_data|mov x0,#0x0
1|0x000852FC|210C40F9|010080D2|initialize_efuse_data|mov x1,#0x0
rollback|0x00085C88|600800B4|1F2003D5|CheckKernelRP|nop
rollback|0x00085C9C|A00300B4|1D000014|CheckKernelRP|b commercial_bit_not_set
1|0x00085F94|00|20|emc_get_fuse_status|mov w0,#0x1
1|0x00085F98|820000B5203840F9|1F2003D51F2003D5|emc_get_fuse_status|nop
1|0x00085FA1|001FEBE0079F1A|2003D51F2003D5|emc_get_fuse_status|
1|0x00086A80|E0069837|37000014|post_check_kernel_integrity|b 0xe8086b5c
1|0x00086B58|60F99F36|1F2003D5|post_check_kernel_integrity|nop
1|0x00086B60|48120094|1F2003D5|post_check_kernel_integrity|nop
1|0x00086B64|00F9FF34|1F2003D5|post_check_kernel_integrity|nop
1|0x00086B68|00E08152|E0FF9F52|post_check_kernel_integrity|mov w0,#0xffff
1|0x000874D8|FD7BB0A9E30400D0|000080D2C0035FD6|check_signature|mov x0,#0x0
1|0x000875E0|FD7BBBA9FD|000080D2C0|check_ext4_signature|mov x0,#0x0
1|0x000875E6|0091|5FD6|check_ext4_signature|
1|0x00205008|14602CAED4469CC1D9E8E81381EE025B5ED13905643BD995C886047E96CC50F0|EFD3426BE2EB922AF17A5E7A61FC2BF50624ED4E4D9DD20B9B71546A2BCB9AC9||

# --- KVM / EL2 boot path ---
# Enabled only by --kvm.
kvm|0x00013C24|E1080034|47000014|change_dt_psci_method|b 0xe8013d40
kvm|0x00017504|B9F0FF97|0B000014|sbl_boot_task|b 0xe8017530
kvm|0x00017860|96F0FF97|1F2003D5|configure_dtb|nop
kvm|0x00017864|E0400034|1F2003D5|configure_dtb|nop
kvm|0x00017E50|DA990194|1F2003D5|configure_dtb|nop
kvm|0x000185C8|FAEDFF97|1F2003D5|cmd_boot|nop
kvm|0x0007E47C|77FFFF97|1F2003D5|dtb_update_reserved_memory|nop
kvm|0x0007E49C|65AA0194|1F2003D5|dtb_update_reserved_memory|nop
kvm|0x0007E4B8|68FFFF97|1F2003D5|dtb_update_reserved_memory|nop
kvm|0x000E8E30|020000D4|1F2003D5|uh_call|nop
kvm|0x000E8E64|F3FFFF97|1F2003D5|uh_register_mem|nop
kvm|0x0001861C|03008052|05784AB9|cmd_boot|ldr w5,[x0,#0xa78]
kvm|0x00018620|02008052|A100048B|cmd_boot|add x1,x5,x4
kvm|0x00018624|01008052|0241B1D2|cmd_boot|mov x2,#0x8a080000
kvm|0x00018628|05784AB9|030080D2|cmd_boot|mov x3,#0x0
kvm|0x0001862C|0041B152|009080D2|cmd_boot|mov x0,#0x480
kvm|0x00018630|A400048B|0040B0F2|cmd_boot|movk x0,#0x8200,LSL #16
kvm|0x00018634|80003FD6|01EAFF97|cmd_boot|bl exynos_smc
kvm|0x00018638|00008052|00000014|cmd_boot|b 0xe8018638
